(540761,28071244)
(541866,28239606)
(542428,28292622)
(542885,28348161)
(543443,28390370)
(576134,28978143)
(576872,29307330)
(577678,29427401)
(579840,29660752)
(580318,29754727)
(581171,29956890)
(581340,29984212)
(581376,29997754)
(581756,30044522)
(584349,30187641)
(585197,30315859)
(585640,30377767)
(618107,31248313)
(618636,31349630)
(622068,31971661)
(622284,32025327)
(622604,32059634)
(623226,32202056)
(624898,32417905)
(626084,32733772)
(627412,32913173)
(628548,33060070)
(629099,33179169)
(630061,33330852)
(633381,33742707)
(633646,33762023)
(633833,33768123)
(633853,33768990)
(634732,33873038)
(635598,33935693)
(635783,33982424)
(637000,34136918)
(637323,34163194)
(637703,34240404)
(639055,34557802)
(639782,34609072)
(640121,34651181)
(643957,35002377)
(644040,35014482)
(644355,35062843)
(644483,35090291)
(648261,35211710)
(664112,36413509)
(664341,36473210)
(672614,37074002)
(672692,37092377)
(673697,37583376)
(674115,37704679)
(674684,37784309)
(674759,37807606)
(677810,37880239)
(680357,38066679)
(682209,38275897)
(682493,38360756)
(683172,38433329)
(685340,38632019)
(688063,38909904)
(689224,39089445)
(690362,39188323)
(690501,39197076)
(692864,39299014)
(693068,39353101)
(693787,39546612)
(695015,39621341)
(696349,39905956)
(698357,40091132)
(702181,41050043)
(702341,41107610)
(703889,41203412)
(705767,41355602)
(708632,41536103)
(708637,41536220)
(709430,41856029)
(712607,42393830)
(721682,42851927)
(725284,42965299)
(726469,43264019)
(726591,43284963)
(727055,43323493)
(727160,43334027)
(731892,43422016)
(733973,43946322)
(734580,44080338)
(734654,44106771)
(736126,44470876)
(736332,44537528)
(739746,44774073)
(740160,44811287)
(742659,45233514)
(742770,45336854)
(743772,45543216)
(762268,46159007)
(762440,46206217)
(763491,46338306)
(763506,46341625)
(764868,46490721)
(768238,46602324)
(768296,46612174)
(768688,46703294)
(769856,46961026)
(798748,47482945)
(799396,47800310)
(799929,47909903)
(801366,47994134)
(802298,48133527)
(802862,48256794)
(802973,48348900)
(806140,48950350)
(806158,48951171)
(806780,49053198)
(806837,49059080)
(807481,49145242)
(808301,49209800)
(809730,49354612)
(810133,49502520)
(810982,49660797)
(811295,49733701)
(812173,49857675)
(813672,50005322)
(815677,50227988)
(822461,51174397)
(824169,51602847)
(824770,51717649)
(824957,51734606)
(827099,51841808)
(828011,51955293)
(828030,51963102)
(829623,52187516)
(831947,52797678)
(832410,52887820)
(833142,53153330)
(834871,53176570)
(835746,53298177)
(835942,53360217)
(836402,53590967)
(836661,53687851)
(836695,53710017)
(836938,53754207)
(837043,53778325)
(837513,53893757)
(851622,54429518)
(851923,54500865)
(852259,54664018)
(853156,54823586)
(853947,55038228)
(854222,55095567)
(855315,55223370)
(855411,55240441)
(855442,55243074)
(855587,55249501)
(855902,55380332)
(863268,55658964)
(864485,55762886)
(865272,55882400)
(865915,56016520)
(866302,56157843)
(866647,56293596)
(866982,56326322)
(868066,56534172)
(869011,56780508)
(869766,56872605)
(870023,56937192)
(872495,57198341)
(873247,57427345)
(880336,57887511)
(882890,58286235)
(883483,58330213)
(884599,58456149)
(888814,59044915)
(889050,59096875)
(889214,59154488)
(891126,59377391)
(891139,59379221)
(891631,59506566)
(892283,59600340)
(892911,59745091)
(893007,59782456)
(893637,59916112)
(894750,60148512)
(895285,60254877)
(895647,60394486)
(895891,60505526)
(896324,60595450)
(896391,60707708)
(896806,60832860)
(898036,61006689)
(901791,61264033)
(902113,61344864)
(902816,61465350)
(903343,61592025)
(903382,61592416)
(903503,61633989)
(903655,61646800)
(908271,62227961)
(908529,62306850)
(909131,62342906)
(909411,62425136)
(909448,62437700)
(910626,62569010)
(910965,62669515)
(916431,63297909)
(916824,63325320)
(924233,63927098)
(924688,64067912)
(926601,64265349)
(945555,65510240)
(945602,65516075)
(949566,65921660)
(951274,66140876)
(951829,66258483)
(951989,66282775)
(958215,66957209)
(960377,67314370)
(963653,67894025)
(963882,68020754)
(963890,68025026)
(964733,68148051)
(964875,68253422)
(985433,68770901)
(986621,68837849)
(986944,68945206)
(1005703,70133545)
(1005734,70141877)
