(775722,53192158)
(775807,53220643)
(776619,53368402)
(777994,53530688)
(779377,53675500)
(779631,53707432)
(779922,53851486)
(780233,53920908)
(781151,54060301)
(781324,54163494)
(781703,54209417)
(782341,54329683)
(782932,54439180)
(783520,54602107)
(783571,54608889)
(783706,54693735)
(784298,54817002)
(791306,55169826)
(791451,55184578)
(792655,55259307)
(793404,55381922)
(794192,55486778)
(794565,55564097)
(795469,55707445)
(796597,55984798)
(797100,56107292)
(800741,56359124)
(803404,56407651)
(803790,56519009)
(804243,56694307)
(805298,56940643)
(805732,57021340)
(807344,57340554)
(808204,57374227)
(808392,57394228)
(808763,57469735)
(808860,57507100)
(810536,57836287)
(815470,57954192)
(816259,58100837)
(816357,58137358)
(816643,58169799)
(818286,58426741)
(818593,58476194)
(818986,58498147)
(820094,58796650)
(824123,59019090)
(824320,59046361)
(830051,59471224)
(832089,59959996)
(832406,60091119)
(832532,60136385)
(832690,60232456)
(833040,60296826)
(847992,61385370)
(848727,61517287)
(848743,61519296)
(852019,61854534)
(852237,61896692)
(852745,62044248)
(854172,62302975)
(856666,62939477)
(857069,63020671)
(857441,63074427)
(858582,63189029)
(859129,63264099)
(859293,63328566)
(859573,63388494)
(859687,63390890)
(859795,63396672)
(860130,63577445)
(860547,63712531)
(860578,63713844)
(860906,63764440)
(861217,63777274)
(861291,63819207)
(861491,63877574)
(861772,64011621)
(867200,64933857)
(869350,64974733)
(869378,64986556)
(869633,65197030)
(871916,65810919)
(872566,66137417)
(872717,66190885)
(873186,66305746)
(873625,66501910)
(873785,66578016)
(873830,66594663)
(874841,66749157)
(875429,66817117)
(875468,66824206)
(875480,66826036)
(879527,67224422)
(879934,67404884)
(880481,67543721)
(880681,67575914)
(880713,67585683)
(882458,67655937)
(883275,67819730)
(883601,67869973)
(884157,67965416)
(884785,68150626)
(885977,68220792)
(886168,68333050)
(888295,68575081)
(888378,68594739)
(888461,68632853)
(889854,68691457)
(890073,68726549)
(890124,68750523)
(892107,68973189)
(893221,69310812)
(893279,69321237)
(893840,69344796)
(894710,69534779)
(895167,69598404)
(895326,69660444)
(895774,69730552)
(896433,69898017)
(897923,69919026)
(897980,69943323)
(898238,70070344)
(898531,70088620)
(919130,71274770)
(919434,71279917)
(920290,71414196)
(930180,72049784)
(930434,72057910)
(930510,72118612)
(932105,72356624)
(933229,72529402)
(933889,72603200)
(933911,72618611)
(934065,72644464)
(934236,72653604)
(934784,72799632)
(937038,73155939)
(937549,73234463)
(938713,73305731)
(940295,73457959)
(941363,73731525)
(942032,74034145)
(944741,74135305)
(946911,74397753)
(950671,75356664)
(950889,75361617)
(951019,75396741)
(951217,75434302)
(951501,75506412)
(952132,75577336)
(952377,75642142)
(952550,75680102)
(952993,75780570)
(954833,75859907)
(955154,75966656)
(957184,76377766)
(957653,76499479)
(959217,76645868)
(963572,76696472)
(964021,76775176)
(964045,76781479)
(964173,76823422)
(964323,76860606)
(964858,77050492)
(967222,77311641)
(967872,77444426)
(968617,77487835)
(969165,77631358)
(971187,77889032)
(972331,77986549)
(972403,78005136)
(973041,78119439)
(973449,78243717)
(974228,78337687)
(974402,78442170)
(974429,78474540)
(974751,78611994)
(974916,78679850)
(975438,78817992)
(975543,78881659)
(975891,78987246)
(976071,79030073)
(976131,79040873)
(976413,79089427)
(976435,79098572)
(976641,79167814)
(977507,79293866)
(977602,79356021)
(978002,79442777)
(978066,79456224)
(1030733,80247362)
(1030855,80250580)
(1031283,80340177)
(1031409,80383190)
(1031723,80462751)
(1032001,80546244)
(1039141,81357949)
(1039592,81486840)
(1040400,81683601)
(1041372,81803615)
(1041589,81841294)
(1041677,81899256)
(1042512,81933800)
(1044798,82073449)
(1045200,82149277)
(1046135,82268449)
(1046278,82311090)
(1048109,82543167)
(1048189,82567745)
(1051846,82729739)
(1053832,83065143)
(1053964,83116667)
(1054027,83139621)
(1054090,83168077)
(1054848,83196668)
(1066809,83428629)
(1069517,83609130)
(1072552,83727068)
(1073204,83873931)
(1074102,84021537)
(1074460,84043786)
(1076780,84208064)
(1076844,84242787)
(1077976,84275925)
(1078298,84394408)
(1083836,84517525)
(1085933,84694584)
(1085997,84728209)
(1086290,84754402)
(1086469,84912986)
(1087163,85007815)
(1098780,85756979)
(1099979,85848056)
(1100400,86004514)
(1119908,87249405)
(1123487,88054405)
(1123697,88108878)
(1123816,88117195)
(1123895,88152713)
(1132821,88316578)
(1133162,88402504)
(1133351,88570629)
(1134910,89034110)
(1135375,89204563)
(1135902,89355285)
(1136042,89395989)
(1136457,89603449)
(1151258,90013625)
(1151540,90231936)
(1151808,90317177)
(1152927,90536453)
(1153022,90587151)
(1153043,90594894)
(1159965,91216627)
(1160181,91237542)
(1161161,91630854)
(1162356,91674873)
(1163683,91960050)
(1163919,92022677)
(1164251,92140739)
(1164349,92182312)
(1168084,92238003)
(1170147,92649858)
(1170174,92650119)
